symbol,month,month_start,month_end,monthly_return
TATASTEEL,2023-10,128.0,118.75,-7.2265625
ADANIENT,2023-10,2464.95,2294.65,-6.908862248727145
TECHM,2023-10,1216.2,1133.15,-6.828646604176941
SBIN,2023-10,602.95,565.55,-6.202836056057731
BAJFINANCE,2023-10,7967.6,7492.65,-5.961017119333309
BAJFINANCE,2023-11,7471.9,7121.9,-4.684216865857413
SBIN,2023-11,566.4,564.75,-0.2913135593220299
CIPLA,2023-11,1201.25,1212.3,0.919875130072837
NESTLEIND,2023-11,2387.27,2423.61,1.5222408860330061
ITC,2023-11,428.1,435.8,1.7986451763606606
HDFCLIFE,2023-12,682.15,646.7,-5.19680422194531
MARUTI,2023-12,10585.7,10302.3,-2.677196595407025
AXISBANK,2023-12,1104.65,1102.3,-0.21273706603902923
BAJAJFINSV,2023-12,1685.95,1685.8,-0.008897061004187013
SBILIFE,2023-12,1423.65,1432.6,0.6286657535208666
HDFCBANK,2024-01,1698.1,1462.55,-13.871385666332959
ASIANPAINT,2024-01,3396.1,2957.85,-12.904508112246402
HDFCLIFE,2024-01,648.7,576.6,-11.114536765839373
NESTLEIND,2024-01,2737.24,2506.0,-8.447925647732745
JSWSTEEL,2024-01,877.6,818.65,-6.717183226982685
HINDALCO,2024-02,571.25,503.85,-11.798687089715532
ITC,2024-02,442.9,406.3,-8.263716414540522
KOTAKBANK,2024-02,1822.75,1689.45,-7.313125771499106
INDUSINDBK,2024-02,1541.15,1474.9,-4.298737955422898
HDFCBANK,2024-02,1466.35,1403.4,-4.29297234630203
INFY,2024-03,1654.7,1498.05,-9.46697286517194
TATACONSUM,2024-03,1186.26,1082.74,-8.726586077251191
WIPRO,2024-03,519.1,480.1,-7.513003274898863
HCLTECH,2024-03,1644.1,1543.55,-6.115808040873424
HINDUNILVR,2024-03,2409.7,2264.35,-6.031871187284721
HCLTECH,2024-04,1556.7,1366.6,-12.211729941543016
KOTAKBANK,2024-04,1790.7,1623.95,-9.312000893505333
HDFCLIFE,2024-04,634.75,583.65,-8.0504135486412
APOLLOHOSP,2024-04,6457.25,5947.1,-7.900422006272015
SUNPHARMA,2024-04,1629.25,1502.1,-7.804204388522332
TATAMOTORS,2024-05,1027.8,923.0,-10.196536291107215
TITAN,2024-05,3568.45,3241.9,-9.151031960655178
SHRIRAMFIN,2024-05,2582.1,2354.05,-8.83195848340497
DRREDDY,2024-05,1257.5,1158.37,-7.883101391650108
ONGC,2024-05,282.8,264.35,-6.52404526166902
ADANIENT,2024-06,3645.25,3177.15,-12.841368904739042
LT,2024-06,3897.15,3548.45,-8.947564245666712
BPCL,2024-06,333.08,303.95,-8.745646691485529
COALINDIA,2024-06,512.35,473.15,-7.6510198106763045
ADANIPORTS,2024-06,1583.95,1478.1,-6.682660437513818
AXISBANK,2024-07,1261.9,1166.1,-7.591726761233075
BAJFINANCE,2024-07,7276.75,6806.95,-6.456178926031542
HDFCBANK,2024-07,1705.2,1615.75,-5.2457189772460735
TATASTEEL,2024-07,174.07,165.33,-5.020968575860276
NESTLEIND,2024-07,2568.1,2456.35,-4.351466064405591
MARUTI,2024-08,13359.05,12403.0,-7.156571762213626
ADANIPORTS,2024-08,1590.15,1481.9,-6.807533880451529
POWERGRID,2024-08,361.1,337.4,-6.563278870119092
TATASTEEL,2024-08,163.06,152.76,-6.31669324175151
ADANIENT,2024-08,3217.25,3019.35,-6.151216100707129
TATAMOTORS,2024-09,1092.65,974.65,-10.799432572186895
ONGC,2024-09,326.2,297.6,-8.767627222562835
TCS,2024-09,4521.05,4268.5,-5.586091726479473
INFY,2024-09,1964.5,1875.6,-4.525324510053454
TECHM,2024-09,1646.65,1577.2,-4.2176540248383105
INDUSINDBK,2024-10,1409.7,1055.6,-25.11881960700859
BAJAJ-AUTO,2024-10,12157.45,9836.3,-19.09240835866075
NESTLEIND,2024-10,2707.05,2262.95,-16.405312055558646
TATACONSUM,2024-10,1196.25,1002.55,-16.192267502612335
MARUTI,2024-10,13166.0,11076.45,-15.870803584991638
ADANIENT,2024-11,2949.5,2228.0,-24.461773181895236
ADANIPORTS,2024-11,1394.4,1136.75,-18.477481353987383
ASIANPAINT,2024-11,2939.85,2472.2,-15.90727418065548
BRITANNIA,2024-11,5693.05,4848.35,-14.837389448538127
NTPC,2024-11,411.35,365.45,-11.158380940804676
